Modelo,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
DL 1: MLP Supervisado,0.9522,0.9991573329588147,0.7450980392156863,0.7755102040816326,0.76,0.9677235624131475,0.6804555089952788
DL 2: Autoencoder,0.0091,0.996857554158913,0.30434782608695654,0.6428571428571429,0.4131147540983607,0.9614237120002755,0.2755461656067222
